customer_id,recency_days,frequency,monetary,avg_order_value,tenure_days,return_rate,churned
12346,325,12,77556.46,2281.0723529411766,400,0.2765957446808511,1
12347,1,8,4921.53,22.169054054054055,402,0.0,0
12348,74,5,2019.4,39.596078431372554,362,0.0,0
12349,18,4,4428.69,25.3068,570,0.027777777777777776,0
12350,309,1,334.4,19.670588235294115,0,0.0,1
12351,374,1,300.93,14.33,0,0.0,1
12352,35,10,2849.84,27.668349514563108,356,0.08849557522123894,0
12353,203,2,406.76,16.948333333333334,204,0.0,1
12354,231,1,1079.4,18.610344827586207,0,0.0,1
12355,213,2,947.61,27.074571428571428,353,0.0,1
12356,22,6,6371.73,44.87133802816901,401,0.0,0
12357,32,3,18287.66,61.78263513513514,355,0.0,0
12358,1,5,3887.07,50.48142857142857,730,0.0,0
12359,57,10,8873.39,24.5121270718232,676,0.026881720430107527,0
12360,51,8,4252.89,19.59857142857143,603,0.0045871559633027525,0
12361,286,4,511.25,17.629310344827587,394,0.0,1
12362,2,11,5356.23,20.06078651685393,735,0.02909090909090909,0
12363,109,2,552.0,24.0,132,0.0,1
12364,7,4,1313.1,15.448235294117646,104,0.0,0
12365,290,2,641.38,29.153636363636362,0,0.043478260869565216,1
12366,633,1,500.24,166.74666666666667,0,0.0,1
12367,3,1,168.9,15.354545454545455,0,0.0,0
12368,627,1,917.7,50.983333333333334,0,0.0,1
12369,412,3,1791.1499999999999,19.259677419354837,228,0.0,1
12370,50,7,4316.5599999999995,21.475422885572137,617,0.0,0
12371,44,5,4067.38,24.35556886227545,600,0.0,0
12372,71,3,1298.04,24.962307692307693,224,0.0,0
12373,310,3,1127.65,22.110784313725492,362,0.0,1
12374,24,4,2989.22,36.01469879518072,563,0.0,0
12375,10,2,457.5,26.91176470588235,87,0.05555555555555555,0
12376,389,2,503.15,38.70384615384615,28,0.0,1
12377,314,4,3426.32,22.54157894736842,274,0.0,1
12378,129,2,5416.32,17.994418604651162,432,0.0,1
12379,81,4,1620.22,20.002716049382716,452,0.012195121951219513,0
12380,21,11,9676.3,34.93249097472924,640,0.02120141342756184,0
12381,4,5,1845.31,21.21045977011494,115,0.04395604395604396,0
12383,184,5,1850.56,18.69252525252525,167,0.01,1
12384,28,2,585.27,21.676666666666666,92,0.1,0
12385,378,1,1938.4,29.821538461538463,0,0.015151515151515152,1
12386,337,2,401.9,40.19,29,0.0,1
12387,414,1,143.94,15.993333333333332,0,0.0,1
12388,15,8,3901.11,26.719931506849317,566,0.0,0
12389,402,3,1433.33,29.251632653061222,253,0.0,1
12390,79,1,549.84,17.1825,0,0.0,0
12391,21,6,2724.84,10.205393258426966,641,0.02197802197802198,0
12392,590,1,234.75,33.535714285714285,0,0.0,1
12393,71,6,2399.45,22.424766355140186,356,0.044642857142857144,0
12394,63,2,1272.48,47.12888888888889,153,0.0,0
12395,18,15,4721.17,19.50896694214876,583,0.012244897959183673,0
